SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0.0,0.661195142,59.0,0,0.709907014,13065.0,20,0,5,0,0.0
0.0,0.138601336,46.0,0,0.641245358,5250.0,23,0,2,0,0.0
0.0,0.10603311,60.0,0,0.139124058,22500.0,7,0,1,0,0.0
0.0,0.840257721,33.0,1,0.561643836,4050.0,8,0,0,0,0.0
0.0,0.0,43.0,0,0.0,3450.0,8,0,0,0,1.0
0.0,0.429343707,73.0,0,0.335827216,10624.5,23,0,0,0,0.0
0.0,0.0,50.0,0,0.0,1800.0,4,0,0,0,0.0
0.0,0.9999999,56.0,0,340.0,,5,0,0,1,
0.0,0.000212721,57.0,0,0.165278241,4500.0,4,0,0,0,2.0
0.0,0.008246998,52.0,0,0.363145096,5550.0,3,0,1,0,2.0
0.0,0.068769134,67.0,0,0.291585421,9999.0,13,0,2,0,3.0
0.0,0.484589112,37.0,0,0.373803742,10500.0,10,0,1,0,2.0
0.0,0.01585557,64.0,0,0.112411607,6150.0,10,0,1,0,0.0
0.0,0.0,25.0,1,0.05891636,2850.0,2,0,0,0,0.0
1.0,0.0,60.0,3,0.292697378,10125.0,5,1,1,2,0.0
0.0,0.012461753,54.0,0,0.222196691,6526.5,11,0,1,0,0.0
0.0,0.132091359,36.0,0,0.461418307,4800.0,8,0,2,0,1.0
,,,0,0.275158248,11610.0,18,0,1,0,0.0
1.0,0.960691923,42.0,0,1.241580483,5655.0,29,1,2,1,3.0
0.0,0.02966865,53.0,0,0.305562676,5850.0,15,0,1,1,0.0
0.0,0.9999999,34.0,0,1.810841984,3900.0,7,0,2,0,0.0
0.0,0.053967137,68.0,1,0.74690124,3750.0,9,0,1,0,0.0
0.0,0.9999999,47.0,0,0.757432255,5700.0,2,1,0,3,2.0
0.0,0.034868996,81.0,0,0.017391304,6726.0,6,0,0,0,0.0
0.0,0.294756011,59.0,0,0.563535912,7329.0,20,0,3,0,3.0
1.0,0.76147208,46.0,0,0.494569902,8700.0,7,0,1,0,2.0
0.0,0.009004321,46.0,0,0.017327557,4500.0,7,0,0,0,0.0
0.0,0.528879393,59.0,0,0.639218915,12750.0,19,0,1,0,0.0
0.0,0.408433359,42.0,0,0.468075437,6600.0,7,0,1,0,1.0
,,,0,0.067488752,9000.0,19,0,1,0,0.0
0.0,0.0,56.0,1,0.500549945,15000.0,8,0,2,0,2.0
0.0,0.018324672,46.0,0,1131.0,,7,0,0,0,0.0
0.0,0.982120773,51.0,0,0.328345802,14434.5,9,0,2,0,1.0
0.0,0.008867272,58.0,0,0.256641604,8976.0,10,0,1,0,1.0
,,,0,12.31840796,300.0,9,0,2,0,0.0
0.0,0.065258947,53.0,0,0.172982774,8271.0,13,0,1,0,0.0
,,,0,0.447881961,3150.0,3,0,1,0,0.0
0.0,0.0,53.0,0,0.37652226,7512.0,12,0,2,0,2.0
0.0,0.81821487,66.0,0,0.098320813,6787.5,12,0,0,0,0.0
0.0,0.428398505,45.0,0,0.339366516,5634.0,8,0,1,0,0.0
0.0,0.0,33.0,0,806.0,,6,0,1,0,0.0
0.0,0.851893513,31.0,0,0.155576382,4800.0,2,0,0,0,0.0
,,150.0,0,1.372434018,5625.0,12,0,2,0,0.0
0.0,0.034390557,65.0,0,0.225815144,5565.0,10,0,0,0,1.0
0.0,0.132956425,48.0,0,0.630987182,6669.0,7,0,1,0,2.0
0.0,0.9999999,67.0,0,0.384271513,25500.0,9,0,3,0,0.0
0.0,0.030848458,61.0,0,1732.0,,9,0,1,0,
0.0,0.35698725,67.0,0,0.10936357,4099.5,2,0,0,0,0.0
0.0,0.103955339,59.0,0,0.241543734,10065.0,17,0,2,0,1.0
0.0,0.879864636,61.0,0,456.0,,6,0,0,0,0.0
0.0,0.0,59.0,0,0.033996762,15750.0,9,0,0,0,0.0
0.0,0.653869226,62.0,0,0.389566613,9343.5,6,0,1,0,3.0
0.0,0.042296246,42.0,0,0.268591772,11374.5,13,0,2,0,3.0
,,150.0,0,1.0,0.0,4,0,0,0,0.0
0.0,0.397824817,55.0,0,0.116446579,14992.5,6,0,1,0,1.0
0.0,0.139435375,66.0,0,1824.0,,6,0,1,0,0.0
0.0,0.0,41.0,2,0.287486179,31200.0,12,0,1,1,5.0
1.0,0.221007496,61.0,0,0.618258353,5700.0,10,0,2,0,0.0
0.0,0.030723037,37.0,0,0.513137558,7762.5,10,0,2,0,0.0
0.0,0.523856126,39.0,0,0.340653662,11610.0,13,0,1,0,1.0
0.0,0.0,51.0,0,0.355552363,10440.0,7,0,1,0,0.0
0.0,0.016361242,57.0,0,0.220898258,18000.0,24,0,1,0,2.0
,,,0,0.037446286,4885.5,9,0,0,0,1.0
0.0,0.012472375,82.0,0,17.0,,9,0,0,0,0.0
,,,0,0.251974347,28299.0,12,0,2,0,0.0
0.0,0.041004229,29.0,1,0.316184191,9999.0,12,0,1,0,0.0
0.0,0.010522704,86.0,0,0.196695096,2812.5,10,0,1,0,0.0
0.0,0.195046916,33.0,0,0.398522382,3450.0,10,0,1,0,1.0
0.0,0.033715834,66.0,0,0.382860867,4602.0,8,0,1,0,0.0
0.0,0.002205726,64.0,0,0.160641711,21036.0,17,0,1,0,0.0
0.0,0.034645112,65.0,0,0.125189985,18750.0,4,0,1,0,1.0
1.0,0.944375952,41.0,5,0.285031155,10350.0,10,2,0,0,3.0
0.0,1.262719106,65.0,0,0.464468288,26700.0,20,0,3,0,1.0
0.0,0.077792264,27.0,1,0.206042956,4119.0,3,3,0,2,0.0
0.0,0.212264597,32.0,0,0.087685915,38625.0,10,0,1,0,3.0
1.0,0.867949444,62.0,1,0.456806283,6874.5,15,0,1,0,3.0
0.0,0.319600499,61.0,0,0.00137228,7650.0,4,0,0,0,1.0
0.0,0.160904619,65.0,0,0.004999929,105000.0,4,0,0,0,1.0
0.0,0.280571731,52.0,0,0.089955022,3000.0,7,0,0,0,0.0
0.0,0.469248033,42.0,1,0.168598939,7632.0,9,0,0,0,0.0
0.0,0.046224118,52.0,0,0.139815533,17400.0,11,0,2,0,0.0
0.0,0.016842105,58.0,0,0.096195977,7530.0,9,0,0,0,0.0
0.0,0.785020281,29.0,2,0.323823458,6150.0,7,2,0,0,0.0
0.0,0.0,35.0,0,0.33406406,12315.0,7,0,1,0,1.0
,,,0,0.378197998,1347.0,2,0,0,0,0.0
0.0,0.880013332,62.0,0,0.138469039,3075.0,8,0,0,0,0.0
0.0,0.632247596,68.0,0,0.143485651,15000.0,9,0,0,0,1.0
0.0,0.012465836,56.0,0,0.000749513,10005.0,3,0,0,0,0.0
0.0,0.822798178,54.0,0,0.943071369,5400.0,20,3,2,1,1.0
0.0,0.237594957,55.0,0,0.151469252,4950.0,7,0,0,0,0.0
0.0,0.968561258,49.0,0,0.133397313,12502.5,4,0,0,1,1.0
0.0,0.930027989,29.0,0,0.333833083,3000.0,4,0,0,0,0.0
0.0,0.02623575,63.0,0,0.007635253,6874.5,7,0,0,0,0.0
0.0,0.99222395,50.0,1,0.149300156,6750.0,4,1,0,0,1.0
0.0,0.04621108,51.0,0,0.114222144,60000.0,11,0,2,0,2.0
,,,0,3592.0,,14,0,1,0,9.0
0.0,0.102286833,52.0,1,0.352252166,15750.0,13,0,1,0,0.0
0.0,0.861055556,51.0,1,0.352599179,8770.5,16,0,0,0,0.0
0.0,0.9999999,71.0,0,0.469458988,13750.5,4,0,2,0,0.0
0.0,0.16341229,43.0,0,0.537355671,13249.5,11,0,3,0,2.0
0.0,0.017512196,56.0,0,2135.0,,10,0,1,0,5.0
0.0,0.558110472,42.0,0,0.038080334,5749.5,4,0,0,0,4.0
0.0,0.103714071,58.0,0,0.234177854,14859.0,26,0,2,0,0.0
0.0,0.0,39.0,0,0.0,,2,0,0,0,
,,,0,0.264021247,9600.0,18,0,1,0,3.0
0.0,0.372319763,78.0,0,0.517775752,8226.0,6,0,1,0,0.0
,,,0,0.511622094,6000.0,6,0,1,0,0.0
0.0,0.084037973,71.0,0,1.092529389,3954.0,18,0,2,0,0.0
0.0,0.022244284,58.0,0,0.078427016,6750.0,8,0,0,0,2.0
0.0,0.082638256,52.0,0,5545.0,,18,0,2,0,2.0
0.0,0.9999999,43.0,1,0.761809548,6000.0,6,0,1,0,2.0
0.0,0.007189449,40.0,0,0.299041336,14550.0,11,0,2,0,2.0
,,150.0,0,0.497229917,6496.5,16,0,2,0,1.0
,,150.0,0,2592.0,,12,0,2,0,0.0
0.0,0.064853437,56.0,0,3513.0,,6,0,3,0,3.0
,,,1,636.0,,9,0,0,0,0.0
0.0,0.027762241,48.0,0,0.250121497,9258.0,7,0,1,0,1.0
0.0,0.191137775,45.0,2,1.228532485,3300.0,11,0,1,0,2.0
0.0,0.9999999,42.0,0,4424.0,,5,0,2,0,0.0
0.0,0.9999999,49.0,1,1.117339529,5163.0,5,0,1,0,2.0
1.0,0.256510533,29.0,1,8901.0,0.0,17,0,9,0,1.0
0.0,0.024931671,39.0,0,0.555737705,7318.5,6,0,3,0,2.0
0.0,0.041247422,54.0,0,0.002279818,12499.5,3,0,0,0,0.0
0.0,0.625966251,40.0,0,0.043387199,73050.0,11,0,2,0,0.0
0.0,0.003349833,57.0,0,0.253005041,7735.5,2,0,1,0,1.0
,,,0,938.0,,11,0,1,0,0.0
0.0,0.0,21.0,0,0.0,,1,0,0,0,0.0
0.0,0.289095196,49.0,0,0.505382997,12120.0,24,0,2,0,2.0
0.0,0.514817451,48.0,0,0.764411811,9600.0,19,0,1,0,1.0
0.0,0.002367408,40.0,0,0.585828343,1501.5,12,0,0,0,0.0
0.0,0.17259292,60.0,0,0.144097679,28500.0,12,0,2,0,0.0
0.0,0.172293148,50.0,0,0.829564682,9750.0,21,0,4,0,0.0
0.0,0.104464253,50.0,0,0.48193096,11122.5,20,0,2,0,2.0
,,,0,0.410797744,9306.0,12,0,1,0,3.0
0.0,0.038919167,32.0,0,0.158508159,12225.0,5,0,1,0,2.0
0.0,0.006891076,87.0,0,0.005994006,1500.0,10,0,0,0,0.0
0.0,0.442092985,51.0,0,1378.0,,5,0,1,0,0.0
,,,0,0.006268437,12202.5,3,0,0,0,0.0
0.0,0.139057396,41.0,0,0.046804527,17625.0,5,0,0,0,2.0
,,,0,0.655589124,5460.0,7,0,1,0,1.0
0.0,0.509936183,38.0,0,0.801389327,4749.0,7,0,2,0,1.0
0.0,0.070283889,57.0,0,0.53444789,11124.0,9,0,3,0,1.0
0.0,0.481633336,52.0,0,0.313835771,7999.5,3,0,1,0,0.0
0.0,0.287054067,39.0,1,0.368283777,8625.0,15,0,2,0,0.0
1.0,0.538991525,41.0,5,1.279906698,4500.0,10,1,2,0,3.0
0.0,0.335712013,41.0,0,0.648859731,4800.0,3,0,2,0,0.0
0.0,0.0,30.0,1,0.678464307,7500.0,13,0,2,0,0.0
0.0,0.114706004,80.0,0,0.117110544,4110.0,2,0,0,0,0.0
0.0,0.0,56.0,0,0.733152828,4984.5,12,0,1,0,1.0
0.0,0.029424906,69.0,0,0.486895925,9900.0,10,0,1,0,0.0
0.0,0.023462917,41.0,0,0.532546745,15000.0,10,0,3,0,0.0
0.0,0.195287886,31.0,0,729.0,,6,0,0,0,0.0
0.0,0.047908462,64.0,0,0.310384231,10500.0,13,0,3,0,0.0
0.0,0.234588471,73.0,0,0.607874016,951.0,8,0,1,0,0.0
0.0,0.487216112,31.0,0,0.143245342,3862.5,7,0,0,0,0.0
0.0,0.125554653,28.0,0,0.44761508,7200.0,5,0,2,0,0.0
0.0,0.725116039,45.0,0,0.52308528,2760.0,8,0,0,0,3.0
0.0,0.076352576,93.0,0,0.027941553,5850.0,2,0,0,0,0.0
0.0,0.036761211,57.0,0,0.202425736,23125.5,22,0,2,0,0.0
0.0,0.66189968,64.0,1,0.277611652,15549.0,11,1,1,0,0.0
0.0,0.720249045,37.0,0,0.608956854,2745.0,18,0,0,0,3.0
0.0,0.335748245,49.0,0,0.199609306,8445.0,8,0,0,0,2.0
0.0,0.365649586,45.0,0,0.278418705,9750.0,7,0,1,0,3.0
0.0,0.144547041,51.0,0,0.539878731,12862.5,12,0,1,0,1.0
,,,1,0.106532737,20457.0,14,0,1,0,0.0
0.0,0.788289896,26.0,0,0.427857589,2400.0,11,1,0,0,0.0
0.0,0.199956046,27.0,0,0.19046058,9150.0,10,0,0,0,1.0
0.0,0.798345492,57.0,0,7504.0,,20,0,2,0,0.0
0.0,0.026996625,23.0,0,0.007308161,1230.0,4,0,0,0,0.0
0.0,0.164391463,35.0,0,0.01561524,2400.0,2,0,0,0,0.0
0.0,0.819601087,54.0,0,5.054228914,12750.0,35,0,2,0,0.0
0.0,0.011332956,47.0,0,0.001176332,12750.0,2,0,0,0,1.0
,,,0,0.371942778,9750.0,18,0,1,0,0.0
0.0,0.207056117,37.0,1,0.532917063,11049.0,17,0,1,0,2.0
0.0,0.138212172,67.0,0,2208.0,,13,0,0,0,3.0
,,,1,0.399580021,9999.0,7,2,1,0,1.0
0.0,0.318015336,38.0,0,0.446901517,5832.0,20,0,1,0,4.0
0.0,0.007607175,45.0,0,0.00659868,7500.0,5,0,0,0,1.0
0.0,0.9999999,37.0,0,0.0,7035.0,1,0,0,0,0.0
0.0,0.362145618,35.0,0,0.279696041,11250.0,10,0,0,0,0.0
0.0,0.0,73.0,0,0.201996323,11419.5,3,0,2,0,0.0
,,150.0,0,0.020736901,8100.0,5,0,0,0,0.0
,,,0,1453.0,,3,0,1,0,0.0
0.0,0.084416512,38.0,0,0.105910956,9870.0,7,0,0,0,0.0
0.0,0.192194427,46.0,1,0.611997144,6300.0,9,0,1,0,2.0
0.0,0.029271663,42.0,0,0.18064247,7189.5,6,0,1,0,1.0
0.0,0.01379954,62.0,0,12.0,,2,0,0,0,0.0
0.0,0.389547097,44.0,3,0.512801756,6150.0,11,0,2,0,1.0
1.0,1.194825559,59.0,0,0.409217102,2700.0,3,3,1,3,0.0
0.0,0.466613355,28.0,0,0.14474651,2040.0,4,0,0,0,0.0
0.0,0.072850169,67.0,0,1.012435991,6150.0,9,0,2,0,1.0
0.0,0.850271658,64.0,0,0.513302487,10372.5,4,0,1,0,0.0
0.0,0.086451926,73.0,0,98.0,,5,0,0,0,0.0
0.0,0.012449378,24.0,0,7.0,,1,0,0,0,0.0
0.0,0.001703672,67.0,0,0.422915417,7500.0,7,0,2,0,2.0
0.0,0.999597342,32.0,0,0.273678836,5874.0,12,0,0,0,0.0
0.0,0.0,59.0,1,0.227422615,14100.0,14,0,1,0,1.0
0.0,0.728363561,66.0,1,0.625858465,5022.0,7,0,1,0,0.0
1.0,0.960856616,56.0,1,0.248805586,4080.0,10,1,0,0,1.0
0.0,0.017392351,54.0,0,0.274483678,2250.0,7,0,0,0,0.0
,,,0,0.0,5850.0,6,0,0,0,0.0
0.0,0.464688971,29.0,0,0.13034188,9124.5,9,0,0,0,0.0
0.0,0.030298485,37.0,0,0.314575412,5916.0,7,0,1,0,1.0
0.0,0.008922443,50.0,0,2.479927284,9900.0,16,0,3,0,0.0
0.0,0.629229766,54.0,0,2.298507463,300.0,6,0,0,0,1.0
0.0,0.089710762,56.0,0,489.0,,13,0,0,0,0.0
0.0,0.016449589,38.0,0,0.051561912,11955.0,3,0,0,0,0.0
0.0,0.0,61.0,0,0.240268552,21000.0,7,0,3,0,0.0
0.0,0.072531575,57.0,0,0.071380471,2226.0,12,0,0,0,0.0
0.0,0.183639089,51.0,0,2373.0,,13,0,1,0,0.0
0.0,0.062492951,40.0,0,1.011247188,6000.0,15,0,3,0,1.0
0.0,0.00349965,32.0,0,0.95430945,2887.5,9,0,1,0,3.0
0.0,0.0,44.0,0,0.401638357,12450.0,4,0,2,0,4.0
0.0,0.001619165,54.0,0,0.571618921,2250.0,11,0,0,0,0.0
0.0,0.084688547,67.0,0,0.728930169,8719.5,13,0,2,0,0.0
0.0,0.456154172,48.0,0,0.03124566,10800.0,1,0,0,0,2.0
1.0,0.024560965,27.0,0,1.432783608,3000.0,5,1,1,0,0.0
0.0,0.237083484,49.0,0,1457.0,,18,0,1,0,0.0
,,150.0,0,0.342841909,5625.0,16,0,2,0,0.0
0.0,0.0,30.0,0,183.0,,4,0,0,0,0.0
0.0,0.052907443,65.0,0,0.055403303,20250.0,4,0,0,0,0.0
0.0,0.020845934,69.0,0,0.155384176,5250.0,3,0,0,0,0.0
0.0,0.010351033,72.0,0,1830.0,,36,0,2,0,0.0
0.0,0.335988,46.0,0,0.523052209,9336.0,7,0,2,0,0.0
0.0,0.021894278,63.0,0,0.449275362,8796.0,9,0,2,0,0.0
0.0,0.10708913,64.0,0,0.407858861,18703.5,23,0,3,0,1.0
0.0,0.04799616,33.0,0,675.0,,2,0,1,0,0.0
0.0,0.118588927,54.0,0,0.072372865,15543.0,8,0,1,0,0.0
0.0,0.204431823,60.0,0,0.04269573,15000.0,6,0,0,0,1.0
0.0,0.165060318,67.0,0,0.343914021,6000.0,11,0,1,0,0.0
0.0,0.048870542,63.0,0,0.195322196,15711.0,5,0,2,0,1.0
0.0,0.757471736,51.0,0,0.284708533,5325.0,4,0,0,0,1.0
0.0,0.103508878,36.0,0,0.385589594,8763.0,8,0,2,0,3.0
0.0,0.125485783,55.0,1,0.312306853,8250.0,22,0,1,0,0.0
0.0,0.000124415,59.0,0,1659.0,,8,0,1,0,1.0
,,,0,0.657153245,8250.0,20,0,2,0,1.0
0.0,0.20901617,36.0,0,0.381667449,9588.0,12,0,2,0,2.0
0.0,0.026129095,55.0,1,0.367650588,18750.0,23,0,2,0,2.0
0.0,0.070388792,60.0,0,824.0,,6,0,1,0,0.0
,,,0,2090.0,,8,0,1,0,0.0
0.0,0.058379562,64.0,0,77.0,,9,0,0,0,0.0
0.0,0.189950924,58.0,0,0.289630119,13624.5,13,0,2,0,1.0
0.0,0.085104103,38.0,0,2099.0,,7,0,1,0,0.0
0.0,0.9999999,63.0,0,0.315698573,16500.0,5,0,2,0,2.0
0.0,0.9999999,79.0,0,22.0,,1,0,1,0,0.0
0.0,0.030458157,73.0,0,0.403942294,10500.0,8,0,3,0,1.0
0.0,0.084212281,78.0,1,773.0,,4,0,1,0,0.0
0.0,0.788249625,38.0,1,0.600127389,11773.5,17,0,2,0,3.0
0.0,0.0,59.0,0,0.0,8625.0,3,0,0,0,0.0
0.0,1.060967988,57.0,2,0.314037193,4999.5,2,0,0,0,0.0
0.0,0.116237799,47.0,1,29136.0,,23,0,2,0,0.0
0.0,0.9999999,29.0,0,0.0,2550.0,1,0,0,0,0.0
,,,0,0.004514673,2656.5,1,0,0,0,0.0
0.0,0.003649939,47.0,0,0.179277108,9336.0,7,0,1,0,1.0
0.0,0.031124444,66.0,0,857.0,,7,0,1,0,1.0
1.0,0.658544156,53.0,0,0.951917573,7860.0,17,0,4,1,1.0
0.0,0.745093532,31.0,0,0.571154308,6249.0,11,0,1,0,0.0
0.0,0.300021806,74.0,1,0.295710121,3600.0,11,0,1,0,0.0
,,150.0,0,0.003498251,3000.0,6,0,0,0,0.0
0.0,0.003116843,46.0,2,0.418681913,19413.0,14,0,3,0,2.0
